Thoi_gian,Bien_so,Do_chuan_xac,Trang_thai
2026-03-05 02:00:32,D,0.51,DEMO
2026-03-05 02:00:37,D,0.61,DEMO
2026-03-05 02:00:42,D,0.76,DEMO
2026-03-05 02:00:47,D,0.67,DEMO
2026-03-05 02:00:53,D,0.68,DEMO
2026-03-05 02:00:58,D,0.73,DEMO
2026-03-05 02:01:04,D,0.67,DEMO
2026-03-05 02:01:09,D,0.66,DEMO
2026-03-05 02:01:14,D,0.69,DEMO
2026-03-05 02:01:19,D,0.76,DEMO
2026-03-05 02:01:25,D,0.73,DEMO
2026-03-05 02:01:30,D,0.70,DEMO
2026-03-05 02:01:37,C,0.69,DEMO
2026-03-05 02:01:37,DF,0.79,DEMO
2026-03-05 02:01:37,D,0.66,DEMO
2026-03-05 02:01:38,CZ,0.73,DEMO
2026-03-05 02:01:39,D,0.79,DEMO
2026-03-05 02:01:39,G,0.78,DEMO
2026-03-05 02:01:39,D,0.76,DEMO
2026-03-05 02:01:39,C,0.77,DEMO
2026-03-05 02:01:40,D,0.64,DEMO
2026-03-05 02:01:42,Z,0.74,DEMO
2026-03-05 02:01:42,D7,0.70,DEMO
2026-03-05 02:01:42,D,0.57,DEMO
2026-03-05 02:01:42,DJ,0.55,DEMO
2026-03-05 02:01:42,7DJ,0.52,DEMO
2026-03-05 02:01:43,JDZ,0.65,DEMO
2026-03-05 02:01:43,D7,0.63,DEMO
2026-03-05 02:01:43,D,0.59,DEMO
2026-03-05 02:01:44,7D,0.52,DEMO
2026-03-05 02:01:44,Z,0.57,DEMO
2026-03-05 02:01:55,7,0.71,DEMO
2026-03-05 02:01:56,D,0.76,DEMO
2026-03-05 02:01:56,7,0.80,DEMO
2026-03-05 02:01:56,D7,0.75,DEMO
2026-03-05 02:01:56,4,0.76,DEMO
2026-03-05 02:01:56,7,0.78,DEMO
2026-03-05 02:01:57,2,0.85,DEMO
2026-03-05 02:01:57,1Z,0.84,DEMO
2026-03-05 02:01:57,2,0.64,DEMO
2026-03-05 02:01:58,72,0.84,DEMO
2026-03-05 02:01:59,7,0.86,DEMO
2026-03-05 02:02:01,K,0.86,DEMO
2026-03-05 02:02:03,7,0.83,DEMO
2026-03-05 02:02:09,7,0.84,DEMO
2026-03-05 02:02:14,7,0.87,DEMO
2026-03-05 02:02:19,7,0.83,DEMO
2026-03-05 02:02:24,7,0.87,DEMO
2026-03-05 02:02:29,7,0.84,DEMO
2026-03-05 02:02:33,7A,0.75,DEMO
2026-03-05 02:02:34,7,0.77,DEMO
2026-03-05 02:02:39,7L,0.74,DEMO
2026-03-05 02:02:40,7,0.82,DEMO
2026-03-05 02:03:00,7,0.85,DEMO
2026-03-05 02:04:29,P,0.57,DEMO
2026-03-05 02:07:02,4,0.68,DEMO
2026-03-05 02:07:30,Z,0.65,DEMO
2026-03-05 02:07:30,T,0.62,DEMO
2026-03-05 02:07:31,K,0.61,DEMO
2026-03-05 02:07:32,F,0.62,DEMO
2026-03-05 02:07:32,G,0.70,DEMO
2026-03-05 02:07:33,F,0.67,DEMO
2026-03-05 02:07:33,7,0.62,DEMO
2026-03-05 02:07:34,J,0.68,DEMO
2026-03-05 02:09:17,W,0.56,DEMO
2026-03-05 02:12:14,K2,0.68,DEMO
2026-03-05 02:12:14,Z,0.61,DEMO
2026-03-05 02:13:07,G,0.54,DEMO
2026-03-05 02:13:10,J,0.73,DEMO
2026-03-05 02:14:46,F,0.63,DEMO
2026-03-05 02:15:03,F,0.71,DEMO
2026-03-05 02:16:08,Z,0.73,DEMO
2026-03-05 02:16:08,C,0.81,DEMO
2026-03-05 02:16:11,F,0.72,DEMO
2026-03-05 02:16:13,T,0.60,DEMO
2026-03-05 02:16:13,A,0.61,DEMO
2026-03-05 02:16:16,7,0.68,DEMO
2026-03-05 02:16:16,Z,0.55,DEMO
2026-03-05 02:16:17,A,0.63,DEMO
2026-03-05 10:17:51,5HU7,0.70,DEMO
2026-03-05 10:17:51,Z,0.76,DEMO
2026-03-05 10:17:53,Q00U,0.74,DEMO
2026-03-05 10:17:54,00U,0.76,DEMO
