epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,211.131,2.83601,0.66544,0.90564,1.16309,0.00997812,0.00332604,0.00997812,0.00332604,0.00997812,0.00332604,0.00997812,0.00332604
2,273.125,1.54184,0.79589,0.94758,0.69863,0.0195826,0.00652752,0.0195826,0.00652752,0.0195826,0.00652752,0.0195826,0.00652752
3,337.458,1.27546,0.8061,0.94771,0.69448,0.028791,0.00959699,0.028791,0.00959699,0.028791,0.00959699,0.028791,0.00959699
4,399.131,1.12697,0.85635,0.96964,0.50719,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,461.669,0.89663,0.89597,0.97481,0.35364,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,524.755,0.79146,0.90509,0.98107,0.33685,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,586.398,0.72577,0.90727,0.98448,0.30971,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,647.669,0.67438,0.90645,0.98461,0.29235,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,708.89,0.63443,0.91816,0.98611,0.2754,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,770.703,0.6181,0.92429,0.98815,0.24696,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,833.235,0.58699,0.9345,0.98992,0.2182,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,897.851,0.56557,0.93396,0.98952,0.22896,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,965.286,0.55526,0.93056,0.99006,0.23007,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,1032.76,0.54195,0.93491,0.98924,0.22162,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,1094.27,0.52309,0.93791,0.99006,0.20364,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,1156.43,0.52082,0.93995,0.99319,0.19498,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,1217.63,0.5106,0.94145,0.99197,0.19462,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,1279.24,0.49812,0.94499,0.99428,0.17817,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,1343.48,0.48345,0.94104,0.99333,0.18527,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,1405.23,0.46919,0.94526,0.99374,0.17011,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,1466.71,0.46487,0.9473,0.99483,0.16722,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,1527.77,0.45921,0.94826,0.99496,0.16285,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,1588.59,0.45251,0.95112,0.99523,0.1531,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,1649.75,0.44347,0.95016,0.99455,0.15658,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,1710.43,0.4379,0.9518,0.99537,0.15095,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,1771.24,0.42052,0.95384,0.99537,0.14095,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,1831.78,0.41559,0.95466,0.99523,0.13958,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,1893.1,0.41805,0.95874,0.99551,0.13448,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
